Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
490,2111,29,Under 35,M,4419,4680,9099,261,0.059063136,54.23059953,70.6406,38.2406,38.53459987,51.3806,32.2106,45.66134947,58.50186,36.781845
996,10011,30,Under 35,M,4475,4624,9099,149,0.033296089,59.48720013,76.503204,44.2832,42.34519967,55.6232,33.4832,50.036452,64.915695,41.8082
484,53711,42,40-44,M,4386,4715,9101,329,0.0750114,54.85250027,75.9245,33.7145,38.31050013,58.2845,29.2145,45.9702504,65.87075,33.1145
714,80033,25,Under 35,M,4466,4637,9103,171,0.038289297,64.42130053,77.5913,53.9213,34.78730007,43.8413,25.0313,47.84279893,58.871307,39.378803
460,53705,31,Under 35,M,4546,4560,9106,14,0.00307963,55.16839867,76.2404,34.0304,38.6264002,58.6004,29.5304,46.2861524,66.18665,33.4304
602,1035,36,35-39,M,4345,4767,9112,422,0.09712313,56.13259973,70.0286,37.2686,37.67059973,54.9986,30.0686,46.03159967,58.9736,35.502354
1016,51250,24,Under 35,M,4488,4636,9124,148,0.032976827,59.99780007,77.8298,44.0798,38.3498,51.3698,28.4198,48.07880207,63.741055,38.63105
550,78703,34,Under 35,M,4448,4677,9125,229,0.051483813,81.0952992,88.1393,76.6193,60.4793002,68.7893,51.0593,69.15879947,75.25054,61.870556
310,93004,26,Under 35,M,4334,4794,9128,460,0.106137517,66.4112004,78.1232,56.0732,44.38519987,53.0132,33.9332,54.48670133,61.73195,47.849457
1199,78751,30,Under 35,M,4561,4567,9128,6,0.001315501,80.82410033,86.9081,77.0081,59.6201006,68.3681,50.3681,68.6685994,74.908104,61.576843
257,80026,30,Under 35,M,4420,4709,9129,289,0.065384615,64.51700033,77.747,52.547,34.889,43.367,26.717,47.89825087,58.955753,39.223248
809,1886,42,40-44,M,4550,4580,9130,30,0.006593407,53.9515996,68.0756,34.9556,37.0255998,49.1756,31.1756,44.63759933,56.89685,33.88685
303,84721,28,Under 35,M,4543,4587,9130,44,0.00968523,57.20179887,69.15379,44.3138,32.42179987,44.673798,24.0638,43.67279833,54.352543,33.2663
999,2138,45,45-49,M,4430,4708,9138,278,0.06275395,54.18379947,70.593796,38.1938,38.48779967,51.333797,32.1638,45.6145492,58.455044,36.73505
539,27284,24,Under 35,M,4497,4646,9143,149,0.0331332,70.00250033,83.3045,57.9245,49.08650053,61.0745,33.8945,58.89225027,70.25825,46.32575
330,80209,29,Under 35,M,4458,4688,9146,230,0.051592642,66.10880067,80.772804,54.7628,33.69679987,41.1728,23.8928,48.52105073,58.891552,39.39905
1647,1510,25,Under 35,M,4495,4660,9155,165,0.036707453,54.36080027,69.0728,35.3228,37.6388,49.0028,31.4528,45.18955027,57.07655,34.14905
1589,15217,25,Under 35,M,4638,4521,9159,-117,-0.025226391,62.8697,75.6077,43.6577,43.92770013,56.527702,29.5277,51.75145013,61.548946,38.557697
590,2134,28,Under 35,M,4450,4710,9160,260,0.058426966,54.10189973,70.5119,38.1119,38.40589967,51.2519,32.0819,45.53264967,58.37315,36.653152
346,10038,28,Under 35,M,4393,4769,9162,376,0.085590712,59.67439913,76.6904,44.470398,42.53239967,55.8104,33.6704,50.22365013,65.1029,41.995396
938,63118,38,35-39,M,4540,4623,9163,83,0.018281938,67.8451994,84.5492,47.8292,46.9892002,62.8592,32.8892,56.69169987,70.53919,43.2842
462,94131,26,Under 35,M,4365,4805,9170,440,0.100801833,56.41040067,66.7724,52.012398,46.22240013,49.9424,40.3124,50.8086502,53.64365,45.483646
366,54703,37,35-39,M,4524,4657,9181,133,0.029398762,54.7885998,70.946594,35.3066,35.2706,42.8666,23.9666,44.40785113,60.3641,33.615353
800,97405,24,Under 35,M,4431,4753,9184,322,0.072669826,58.0355002,72.1895,46.6295,38.9795,46.899498,29.1695,46.801498,52.858242,39.257004
695,2476,32,Under 35,M,4561,4624,9185,63,0.01381276,53.54090007,69.3329,35.6729,37.0648998,48.5429,30.6329,44.54339873,57.0779,34.52165
479,2114,29,Under 35,M,4379,4809,9188,430,0.098195935,54.16039987,70.5704,38.1704,38.4644,51.3104,32.1404,45.59115027,58.43166,36.71165
498,6057,27,Under 35,M,4557,4638,9195,81,0.017774852,55.03100033,70.115005,37.715,38.531,53.735,30.155,45.81675167,56.442505,34.79
299,94559,41,40-44,M,4509,4689,9198,180,0.03992016,66.55970053,77.4977,55.2677,43.2076996,49.5977,33.3977,53.14320147,63.1952,44.4602
472,49525,25,Under 35,M,4488,4710,9198,222,0.049465241,56.8247004,73.2407,43.4507,38.43469993,49.300697,28.4207,46.63294887,59.669453,35.5457
45,4102,32,Under 35,M,4514,4687,9201,173,0.03832521,51.18920007,64.407196,35.9672,35.5952,44.4272,29.6672,42.55570033,51.05345,34.092197
409,84790,25,Under 35,M,4480,4723,9203,243,0.054241071,73.46629847,86.240295,59.8703,44.85229967,52.0403,36.5603,58.3817984,70.11904,48.5378
905,84326,28,Under 35,M,4559,4661,9220,102,0.022373327,56.4560006,71.114,41.864,26.16799993,38.894,16.934,40.1017506,50.71025,31.127748
1554,94901,23,Under 35,M,4367,4860,9227,493,0.112892146,65.50790013,79.8179,55.0679,45.49790013,50.927902,38.4179,53.60814987,62.63915,45.460407
1944,46220,31,Under 35,M,4515,4715,9230,200,0.044296788,63.2021,77.4221,40.6121,45.25010033,57.4421,27.202099,53.1936008,66.97835,37.29335
880,55419,45,45-49,M,4656,4575,9231,-81,-0.017396907,57.18020047,73.5062,43.9862,35.69420013,43.5362,27.3362,45.50220113,59.143703,36.22745
